V8\V9RN	1Q	2Q	3Q	4Q	5Q	6Q	7Q	8Q	9Q	10Q	11Q	12Q
1Q	1%	3%	3%	7%	2%	4%	7%	12%	40%	0%	100%	0%
2Q	3%	4%	0%	18%	9%	7%	11%	33%	0%	67%	0%	0%
3Q	1%	7%	13%	7%	13%	8%	17%	27%	20%	67%	50%	100%
4Q	3%	2%	7%	6%	7%	11%	16%	14%	8%	21%	40%	33%
5Q	3%	6%	10%	14%	10%	5%	18%	16%	30%	23%	50%	67%
6Q	2%	5%	8%	10%	13%	20%	14%	25%	25%	22%	41%	29%
7Q	3%	2%	8%	7%	11%	21%	26%	16%	22%	28%	48%	33%
8Q	3%	12%	6%	9%	14%	11%	18%	14%	27%	41%	38%	47%
9Q	3%	14%	6%	5%	15%	12%	17%	19%	25%	27%	44%	39%
10Q	4%	0%	4%	17%	5%	20%	32%	24%	23%	41%	47%	54%
11Q	4%	11%	20%	20%	15%	23%	17%	24%	34%	32%	45%	55%
12Q	13%	14%	0%	20%	18%	24%	17%	41%	39%	43%	52%	59%
